"Close","Close(-1)","High(-1)","Low(-1)"
1.8457,1.8374,1.8497,1.8181
1.8584,1.8457,1.8508,1.8297
1.8777,1.8584,1.8702,1.8419
1.8795,1.8777,1.8883,1.8602
1.8718,1.8795,1.8875,1.862
1.8798,1.8718,1.89,1.8529
1.8793,1.8798,1.89,1.8611
1.8788,1.8793,1.8881,1.8715
1.8838,1.8788,1.8877,1.8626
1.886,1.8838,1.887,1.8664
1.9058,1.886,1.8936,1.8672
1.9064,1.9058,1.9079,1.8945
1.9222,1.9064,1.913,1.8881
1.9098,1.9222,1.9326,1.904
1.9269,1.9098,1.9255,1.8891
1.9188,1.9269,1.9323,1.9087
1.9379,1.9188,1.9397,1.9013
1.9695,1.9379,1.9725,1.9223
1.952,1.9695,1.9737,1.9495
1.9652,1.952,1.9611,1.9334
1.9926,1.9652,1.9884,1.9467
1.9999,1.9926,1.9987,1.9764
1.9994,1.9999,2.0051,1.9824
2.0077,1.9994,2.0043,1.9812
2.022,2.0077,2.022,1.9906
2.0323,2.022,2.0446,2.0035
2.0873,2.0323,2.0589,2.0213
2.0271,2.0873,2.1017,2.0617
2.0274,2.0271,2.0495,2.0116
1.9847,2.0274,2.036,1.9881
1.9819,1.9847,1.9894,1.9641
1.992,1.9819,1.9975,1.9617
2.0149,1.992,2.01,1.9886
2.0253,2.0149,2.0264,1.9999
2.0388,2.0253,2.0385,2.0021
2.0529,2.0388,2.042,2.02
2.0215,2.0529,2.0579,2.0148
2.0316,2.0215,2.0317,2.0053
2.0296,2.0316,2.0322,2.029
2.022,2.0296,2.0399,2.0125
2.0637,2.022,2.0376,2.0016
2.0668,2.0637,2.0638,2.044
2.0709,2.0668,2.0677,2.0472
2.0578,2.0709,2.0742,2.0519
2.0482,2.0578,2.0691,2.0344
2.0601,2.0482,2.0655,2.0303
2.0279,2.0601,2.0613,2.031
2.0225,2.0279,2.0362,2.0073
2.0622,2.0225,2.0445,2.0067
2.066,2.0622,2.0624,2.0463
2.0603,2.066,2.0754,2.0465
2.0747,2.0603,2.0754,2.0409
2.0745,2.0747,2.0797,2.0548
2.0768,2.0745,2.0913,2.0575
2.0087,2.0768,2.078,2.0068
1.9846,2.0087,2.0111,1.981
2.0084,1.9846,2.0012,1.9756
2.0263,2.0084,2.0304,1.9916
2.0187,2.0263,2.0355,2.0064
2.0276,2.0187,2.039,1.9995
2.0314,2.0276,2.039,2.0078
2.0325,2.0314,2.0347,2.012
2.0352,2.0325,2.0346,2.0134
2.0367,2.0352,2.0497,2.0159
2.0373,2.0367,2.0465,2.0247
2.0341,2.0373,2.0401,2.0307
2.0206,2.0341,2.0373,2.0252
2.0185,2.0206,2.0302,2.0163
2.0112,2.0185,2.0251,2.003
2.0229,2.0112,2.0241,1.9924
2.0364,2.0229,2.0424,2.003
2.0455,2.0364,2.042,2.0333
2.0327,2.0455,2.0472,2.0328
2.0201,2.0327,2.0328,2.0172
2.0209,2.0201,2.027,2.012
2.0403,2.0209,2.0365,2.0019
2.0567,2.0403,2.0511,2.0217
2.0421,2.0567,2.0568,2.0342
2.0484,2.0421,2.05,2.0239
2.027,2.0484,2.0488,2.0193
2.0285,2.027,2.0286,2.0086
2.0271,2.0285,2.0312,2.011
2.0211,2.0271,2.0333,2.0086
2.0171,2.0211,2.0247,2.0115
2.0139,2.0171,2.0198,2.0114
2.0197,2.0139,2.0267,1.9954
2.0258,2.0197,2.026,2.0015
2.0236,2.0258,2.0286,2.0063
2.0151,2.0236,2.0237,2.0018
2.0145,2.0151,2.021,1.998
2.0143,2.0145,2.0201,1.9957
2.0109,2.0143,2.0205,1.9972
2.0153,2.0109,2.0208,1.9967
2.0228,2.0153,2.0243,2.012
2.0231,2.0228,2.0294,2.0057
2.031,2.0231,2.0281,2.005
2.0409,2.031,2.047,2.0153
2.047,2.0409,2.0498,2.0242
2.0455,2.047,2.0529,2.0306
2.0277,2.0455,2.0486,2.0202
2.0286,2.0277,2.0316,2.0106
2.0367,2.0286,2.0404,2.0133
2.0362,2.0367,2.0405,2.0232
2.025,2.0362,2.0389,2.0197
2.0253,2.025,2.0253,2.0079
2.0193,2.0253,2.0267,1.9923
2.0119,2.0193,2.0205,2.0032
2.0238,2.0119,2.0195,1.9976
2.0182,2.0238,2.0253,2.007
2.0093,2.0182,2.0195,2.0006
2.0303,2.0093,2.0303,1.9932
2.0199,2.0303,2.0312,2.0151
2.0215,2.0199,2.0245,2.0046
2.0181,2.0215,2.0268,2.0066
2.0188,2.0181,2.0235,2.016
2.0235,2.0188,2.0264,2.0034
2.0282,2.0235,2.0239,2.0067
2.0332,2.0282,2.0341,2.0113
2.027,2.0332,2.034,2.0159
2.0226,2.027,2.0314,2.0219
2.023,2.0226,2.0264,2.0075
2.0251,2.023,2.0257,2.0089
2.0187,2.0251,2.026,2.0081
2.0161,2.0187,2.0238,2.0054
1.9974,2.0161,2.0257,2.0018
2.0287,1.9974,2.0304,2.0119
2.0307,2.0287,2.0343,2.0249
2.0394,2.0307,2.0378,2.0183
2.0391,2.0394,2.0403,2.0232
2.0419,2.0391,2.0413,2.0241
2.0355,2.0419,2.0422,2.0244
2.0334,2.0355,2.036,2.0181
2.0299,2.0334,2.0348,2.0147
2.026,2.0299,2.0315,2.0143
2.026,2.026,2.0281,2.0085
2.023,2.026,2.0278,2.0097
2.0254,2.023,2.0283,2.0049
2.0241,2.0254,2.0262,2.0079
2.024,2.0241,2.0253,2.0057
2.0252,2.024,2.0297,2.0073
2.0309,2.0252,2.0423,2.01
2.029,2.0309,2.0329,2.0275
2.0279,2.029,2.0324,2.0083
2.0295,2.0279,2.0325,2.0266
2.0288,2.0295,2.0321,2.026
2.0342,2.0288,2.0384,2.0117
2.0291,2.0342,2.0357,2.0143
2.033,2.0291,2.0355,2.0128
2.0372,2.033,2.038,2.0288
2.0445,2.0372,2.0617,2.0367
2.0493,2.0445,2.0523,2.0276
2.0572,2.0493,2.0633,2.046
2.0637,2.0572,2.0677,2.0408
2.0648,2.0637,2.0699,2.0477
2.0806,2.0648,2.0757,2.0505
2.0772,2.0806,2.0948,2.0558
2.0802,2.0772,2.0808,2.0611
2.0956,2.0802,2.0963,2.0731
2.1033,2.0956,2.0995,2.0724
2.0801,2.1033,2.1137,2.0834
2.0813,2.0801,2.0914,2.0561
2.083,2.0813,2.085,2.0692
2.0919,2.083,2.0921,2.0679
2.0956,2.0919,2.107,2.0723
2.1339,2.0956,2.1109,2.0928
2.1191,2.1339,2.1403,2.091
2.1183,2.1191,2.1231,2.0834
2.0871,2.1183,2.1198,2.0903
2.076,2.0871,2.0975,2.0643
2.0735,2.076,2.0798,2.0589
2.0762,2.0735,2.0835,2.0594
2.0756,2.0762,2.0778,2.0529
2.0704,2.0756,2.08,2.058
2.0843,2.0704,2.08,2.0552
2.0851,2.0843,2.0869,2.0691
2.0951,2.0851,2.0951,2.0686
2.088,2.0951,2.106,2.0784
2.0692,2.088,2.091,2.0595
2.0693,2.0692,2.075,2.0437
2.0563,2.0693,2.0781,2.0531
2.0749,2.0563,2.0888,2.0589
2.0771,2.0749,2.0853,2.0743
2.048,2.0771,2.0815,2.0376
2.0417,2.048,2.0555,2.0227
2.0451,2.0417,2.0475,2.0223
2.0507,2.0451,2.0481,2.0285
2.0456,2.0507,2.054,2.0435
2.0456,2.0456,2.0503,2.035
2.0487,2.0456,2.0485,2.0282
2.0324,2.0487,2.0488,2.0273
2.0264,2.0324,2.0368,2.0147
2.0401,2.0264,2.035,2.0038
2.0477,2.0401,2.0462,2.0249
2.0277,2.0477,2.0477,2.0162
2.0297,2.0277,2.035,2.0154
2.0324,2.0297,2.035,2.0119
2.0408,2.0324,2.0369,2.0184
2.0371,2.0408,2.0414,2.0232
2.0298,2.0371,2.0437,2.0249
2.0387,2.0298,2.0415,2.0231
2.041,2.0387,2.0484,2.0367
2.0339,2.041,2.0503,2.0227
2.0285,2.0339,2.039,2.0168
2.0285,2.0285,2.0295,2.025
1.9941,2.0285,2.0345,2.0032
1.9864,1.9941,1.9961,1.974
1.9883,1.9864,1.9959,1.9794
1.9906,1.9883,1.9908,1.9653
1.9864,1.9906,1.9911,1.9711
1.9947,1.9864,1.9896,1.9682
1.9829,1.9947,1.9949,1.9694
1.9859,1.9829,1.987,1.9682
1.9635,1.9859,1.9905,1.9606
1.9701,1.9635,1.9735,1.9383
1.9707,1.9701,1.9724,1.9494
1.9688,1.9707,1.9725,1.9513
1.9641,1.9688,1.9695,1.9513
1.9562,1.9641,1.9665,1.9482
1.9652,1.9562,1.9619,1.9481
1.9597,1.9652,1.9703,1.9515
1.9539,1.9597,1.964,1.9439
1.9601,1.9539,1.957,1.9357
1.9718,1.9601,1.9767,1.9561
1.9691,1.9718,1.9727,1.9613
1.9805,1.9691,1.9732,1.9593
1.9821,1.9805,1.983,1.9708
1.9744,1.9821,1.989,1.9726
