"Close","Close(-1)","Volume(-1)","return_diff_last_day"
64803.0,65156.0,1604200,-353.0
63867.0,64803.0,1753000,-936.0
65585.0,63867.0,1773400,1718.0
64261.0,65585.0,1764000,-1324.0
65145.0,64261.0,1286400,884.0
67073.0,65145.0,3284800,1928.0
66808.0,67073.0,2509000,-265.0
66679.0,66808.0,1601200,-129.0
66747.0,66679.0,2019200,68.0
66407.0,66747.0,651400,-340.0
66624.0,66407.0,1716000,217.0
66807.0,66624.0,1438800,183.0
68031.0,66807.0,1561000,1224.0
67692.0,68031.0,2144400,-339.0
68107.0,67692.0,2594000,415.0
67663.0,68107.0,2234200,-444.0
67089.0,67663.0,1464400,-574.0
68190.0,67089.0,1629400,1101.0
67719.0,68190.0,1775200,-471.0
68325.0,67719.0,1734000,606.0
68794.0,68325.0,2495200,469.0
68196.0,68794.0,3305200,-598.0
68816.0,68196.0,3441000,620.0
69228.0,68816.0,2138600,412.0
69228.0,69228.0,1851800,0.0
69430.0,69228.0,3067200,202.0
70229.0,69430.0,2466200,799.0
70385.0,70229.0,2452600,156.0
71283.0,70385.0,1876800,898.0
70541.0,71283.0,2713000,-742.0
69918.0,70541.0,2780600,-623.0
70809.0,69918.0,2587200,891.0
70946.0,70809.0,2136000,137.0
71675.0,70946.0,1169000,729.0
71692.0,71675.0,2985000,17.0
71830.0,71692.0,2633000,138.0
71736.0,71830.0,2015200,-94.0
69864.0,71736.0,2111600,-1872.0
70405.0,69864.0,2495200,541.0
69652.0,70405.0,2407200,-753.0
69530.0,69652.0,2587800,-122.0
69580.0,69530.0,2421600,50.0
70740.0,69580.0,3836000,1160.0
70569.0,70740.0,2576800,-171.0
70320.0,70569.0,2202600,-249.0
70673.0,70320.0,2230200,353.0
71561.0,70673.0,2208800,888.0
71905.0,71561.0,1555000,344.0
72996.0,71905.0,2145800,1091.0
72607.0,72996.0,2175800,-389.0
72657.0,72607.0,1732000,50.0
71679.0,72657.0,1077600,-978.0
71638.0,71679.0,1505000,-41.0
71195.0,71638.0,0,-443.0
70367.0,71195.0,1353200,-828.0
69192.0,70367.0,1188600,-1175.0
69709.0,69192.0,2240800,517.0
70781.0,69709.0,0,1072.0
70898.0,70781.0,1881600,117.0
69633.0,70898.0,1506400,-1265.0
67953.0,69633.0,1739200,-1680.0
69629.0,67953.0,2080600,1676.0
69362.0,69629.0,1990600,-267.0
68226.0,69362.0,981600,-1136.0
67908.0,68226.0,1564800,-318.0
67705.0,67908.0,1777800,-203.0
69346.0,67705.0,2159200,1641.0
69527.0,69346.0,0,181.0
69766.0,69527.0,2111800,239.0
69552.0,69766.0,2828000,-214.0
69338.0,69552.0,0,-214.0
68175.0,69338.0,0,-1163.0
67879.0,68175.0,2671600,-296.0
68342.0,67879.0,2447200,463.0
69126.0,68342.0,0,784.0
68743.0,69126.0,0,-383.0
67870.0,68743.0,0,-873.0
67306.0,67870.0,2962400,-564.0
67981.0,67306.0,2401400,675.0
67264.0,67981.0,0,-717.0
68215.0,67264.0,2352800,951.0
68471.0,68215.0,1897400,256.0
68486.0,68471.0,1656800,15.0
67803.0,68486.0,1229400,-683.0
68041.0,67803.0,1035400,238.0
68952.0,68041.0,0,911.0
69305.0,68952.0,1307800,353.0
69962.0,69305.0,2102200,657.0
70318.0,69962.0,1862400,356.0
71091.0,70318.0,2427200,773.0
70579.0,71091.0,2309200,-512.0
70057.0,70579.0,2546000,-522.0
70127.0,70057.0,1761000,70.0
70423.0,70127.0,1610800,296.0
71633.0,70423.0,2138000,1210.0
70721.0,71633.0,2516000,-912.0
70940.0,70721.0,2237800,219.0
70609.0,70940.0,1806600,-331.0
70920.0,70609.0,1538600,311.0
70058.0,70920.0,1877400,-862.0
69562.0,70058.0,1884800,-496.0
69133.0,69562.0,2169600,-429.0
69427.0,69133.0,2071800,294.0
68709.0,69427.0,1474400,-718.0
68051.0,68709.0,2542400,-658.0
66698.0,68051.0,2304400,-1353.0
66575.0,66698.0,2544000,-123.0
67847.0,66575.0,2253800,1272.0
66688.0,67847.0,2114000,-1159.0
66765.0,66688.0,2551400,77.0
65269.0,66765.0,2380800,-1496.0
65362.0,65269.0,2676800,93.0
65771.0,65362.0,1980400,409.0
64218.0,65771.0,2764000,-1553.0
64578.0,64218.0,2811400,360.0
65756.0,64578.0,2356400,1178.0
66558.0,65756.0,2396400,802.0
66341.0,66558.0,1945000,-217.0
67571.0,66341.0,2355400,1230.0
67685.0,67571.0,2672400,114.0
68067.0,67685.0,2147800,382.0
67259.0,68067.0,1944000,-808.0
66440.0,67259.0,1453000,-819.0
66910.0,66440.0,3045400,470.0
66949.0,66910.0,3335000,39.0
66903.0,66949.0,2699200,-46.0
67383.0,66903.0,2394600,480.0
